,Parameter,p-value spearman,spearmanr,p-value pearson,pearsonr
40,Грелин 1 час (нг/мл) 0 мес.1,0.039078785590419426,-0.35035371662603243,0.14118214390330946,-0.25383681433233346
56,miR155 0 мес,0.07493257131065253,-0.5100808258767908,0.043045238502274964,-0.5675858582088705
58,Миелопероксидаза нг/мл (˂200) 0 мес,0.026426624876861357,-0.33458167714379217,0.5447850602797399,-0.09379515570207164
61,Проколлаген 1 типа нг/мл (183-244) 0 мес,0.18730255271220336,-0.2025498797841511,0.009059750502326255,-0.389008236790629
76,"ЭхоКГ Ао, мм, 0 мес",0.2578413911970372,0.19955659529851544,0.000629974515594279,0.5565710368337516
81,"ММ ЛЖ (LVM), г, 0 мес",0.4699719179933416,0.12819430686427047,0.012676253709963172,0.42303852309837287
83,"КДР, мм, 0 мес",0.10028067872127928,0.2866287313471876,0.00045751189471263733,0.5680628284884188
84,"КДО, мл, 0 мес",0.09783821222369571,0.2886204576037682,0.0018729755750143524,0.5140220908733953
85,"КСО, мл, 0 мес",0.11691593099107067,0.27395803194228835,0.0023279346195437247,0.5048272071474988
86,"УО, мл, 0 мес",0.17528672074129542,0.2498246087666268,0.00739460903223337,0.47164542206861787
92,"TAVS, см/с, 0 мес",0.02529010302510743,-0.3831891021090256,0.07732567244528646,-0.30705719365700596
96,"ММЛЖ/ (рост, м) 0 мес",0.543514944874776,0.10791806912994414,0.032816603065948746,0.36688356867630034
106,"AIx (P2/P1) mmHg, 0 мес",0.031199205570743533,-0.37567951958765633,0.04272888963794595,-0.3548519916155275
107,"AIx (AP/PP) %, 0 мес",0.0569141324158427,-0.3400000057234241,0.0494772933223845,-0.3501193446669257
111,"ТИМ слева ср, мм, 0 мес",0.12235519856098015,-0.29344239377006454,0.04835435139879079,-0.3697613343430708
