,Parameter,p-value spearman,spearmanr,p-value pearson,pearsonr
39,Лептин/Адипонектин 0 мес,0.2717140373720626,-0.1251691066974105,0.025646073109735157,-0.25103298113494693
41,ADIPOQ 0 мес,0.04963496322676068,-0.3888149181598814,0.11059525462124287,-0.3203524086058804
51,miR142 (ПЛАЗМА) 0 мес,0.0052881193620344215,0.3886116466044158,0.14449926348708808,0.20936810919543095
56,miR155 0 мес,0.02445163998784594,-0.6177645557841133,0.027999872392497824,-0.6064248347131485
58,Миелопероксидаза нг/мл (˂200) 0 мес,0.024968860372666133,-0.3377014130511624,0.21389596838544253,-0.1911471414415262
75,sST2/Лептин 0 мес,0.9692114503334052,-0.006876528197647786,0.02535903780670021,0.3830226364242588
76,"ЭхоКГ Ао, мм, 0 мес",0.36007459608738057,0.1619781296139331,0.001454186782243652,0.5244114351998961
81,"ММ ЛЖ (LVM), г, 0 мес",0.4560430813490861,0.1322139109466836,0.02722056931754315,0.3786622706281378
83,"КДР, мм, 0 мес",0.37190352951191663,0.15808024956037622,0.003402125710540436,0.48815123687678846
84,"КДО, мл, 0 мес",0.14424761880601075,0.2557944220440773,0.00419646566523605,0.4785607394508905
85,"КСО, мл, 0 мес",0.18461442767036418,0.2330936789021431,0.005083112426315145,0.46955658378707005
86,"УО, мл, 0 мес",0.36111229329371,0.16980659559361386,0.011355186500540562,0.4486596341680132
92,"TAVS, см/с, 0 мес",0.002076692231228999,-0.5096880195059573,0.0067669708385136446,-0.455656951979835
106,"AIx (P2/P1) mmHg, 0 мес",0.030034812012980912,-0.3781161170538612,0.010384487399842688,-0.4400619385145345
