,Set of params,F1,Count of parameters
26,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Тревога']",0.5515515515515516,42
25,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Тревога']",0.5515515515515516,42
24,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Депрессия', 'Тревога']",0.5465587044534412,43
23,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Депрессия', 'Тревога']",0.5465587044534412,44
22,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Депрессия', 'Тревога']",0.5205373288555929,45
21,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Кардиогруппа', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Депрессия', 'Тревога']",0.5141700404858299,46
20,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Депрессия', 'Тревога']",0.5141700404858299,47
19,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Депрессия', 'Тревога']",0.5141700404858299,48
18,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'EQ-5', 'Депрессия', 'Тревога']",0.5141700404858299,49
17,"['Возраст', 'Рост', 'Вес 0 мес', 'ОТ 0 мес', 'ОБ 0 мес', 'ОТ/ОБ 0 мес', 'ИМТ 0 мес', 'Индекс Висцерального Ожирения (ИВО)', 'Накопление липидных продуктов (LAP)', 'Отношение ОТ к росту', 'Индекс конусности (ИК)', 'Артериальная гипертензия', 'МЗО=0/МНО=1', 'МЗО=0/МНО=1 V3 (Мейгц)', 'Концентрическая гипертрофия', 'Уровень NT-proBMP', 'Кардиогруппа', 'САД', 'ДАД', 'Пульс', 'Глюкоза', 'Инсулин', 'HOMA-IR', 'HOMA-B', 'OXC', 'ЛПВП', 'ЛПНП', 'ТГ', 'КА', 'Креатинин', 'СКФ', 'Мочевая Кислота', 'СРБ', 'Лептин (нг/мл) 0 мес', 'Лептин 1 час (нг/мл) 0 мес', 'Адипонектин (мкг/мл) 0 мес', 'Лептин/Адипонектин 0 мес', 'Нарушение эмоциогенного ПП 0 - нет, 1 - да', 'Нарушение экстернального ПП 0 - нет, 1 - да', 'Эмоциональное ПП', 'Экстернальное ПП', 'Диетическое ПП', 'Голод', 'Сытость', 'Степень желания поесть', 'Сколько может сьесть', 'Никотин В1.', 'EQ-5', 'Депрессия', 'Тревога']",0.5141700404858299,50
