,Параметр,Порог %,Условие,MW p-value,t-test p_value,+ mean,+ std,- mean,- std,count
0,Возраст,>5%,A,0.02,0.01,31.17,9.93,47.11,9.95,15
1,Рост,>5%,A,0.02,0.0,177.33,9.75,162.11,6.67,15
2,(ОТ (см) к росту (см2))*1000 (ООТР) 0 мес,>5%,A,0.03,0.02,3.31,0.53,3.95,0.36,15
3,Инсулин,>5%,A,0.0,0.0,73.54,35.88,159.49,49.95,15
4,HOMA-IR,>5%,A,0.01,0.01,2.44,1.27,5.63,2.23,15
5,HOMA-B,>5%,A,0.05,0.04,131.5,55.93,284.81,146.01,15
6,Креатинин мкмоль/л (53-106) 0 мес,>5%,A,0.05,0.08,89.5,15.02,70.78,19.7,15
7,СРБ,>5%,A,0.02,0.02,1.47,1.09,3.91,1.92,15
8,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>5%,A,0.07,0.04,19.82,12.34,8.38,7.18,15
9,Лептин (нг/мл) 0 мес,>5%,A,0.0,0.0,26.81,19.0,75.56,15.58,15
10,Лептин 1 час (нг/мл) 0 мес,>5%,A,0.0,0.0,18.49,7.04,70.04,20.1,15
11,Грелин 1 час (нг/мл) 0 мес.1,>5%,A,0.05,0.02,3.02,2.22,6.83,2.05,12
12,"Галектин-3 нг/мл (6,68-9,5) 0 мес",>5%,A,0.0,0.0,5.19,2.09,12.2,3.1,13
13,sST2/Лептин 0 мес,>5%,A,0.0,0.07,1.13,1.08,0.22,0.04,11
14,Диетическое ПП,>5%,A,0.04,0.02,3.25,0.7,2.38,0.58,15
15,Тревога,>5%,A,0.05,0.05,3.67,1.75,7.78,4.02,15
16,Пульс,>5%,B,0.07,0.02,77.0,4.14,69.6,5.43,15
17,NT-proBMP/Адипонектин 0 мес,>5%,B,0.02,0.04,4.44,2.56,1.11,0.67,11
18,Возраст,>5%,C,0.01,0.02,35.4,12.61,51.4,1.74,15
19,"Индекс Висцерального Ожирения (ИВО) 0 мес: [ОТ/(39,68+(1,88×ИМТ))×(ТГ/1,03)×(1,31/ЛВП)] — для мужчин, [ОТ/(36,58+(1,89×ИМТ))×(ТГ/0,81)×(1,52/ЛВП)] — для женщин",>5%,C,0.08,0.03,1.58,0.85,3.91,2.58,15
20,Глюкоза,>5%,C,0.0,0.0,4.96,0.43,6.09,0.58,15
21,HOMA-IR,>5%,C,0.1,0.02,3.35,1.56,6.36,2.73,15
22,ЛПОНП 0 мес,>5%,C,0.08,0.02,0.56,0.23,1.14,0.59,15
23,ТГ,>5%,C,0.08,0.02,1.21,0.5,2.49,1.29,15
24,Лептин (нг/мл) 0 мес,>5%,C,0.04,0.02,43.9,28.33,80.38,13.28,15
25,Лептин 1 час (нг/мл) 0 мес,>5%,C,0.01,0.0,34.67,23.75,78.92,19.22,15
26,Грелин 1 час (нг/мл) 0 мес.1,>5%,C,0.06,0.02,4.2,2.12,8.38,2.31,12
27,Е-селектин нг/мл 0 мес,>5%,C,0.15,0.02,34.07,13.83,67.35,16.95,11
28,Алкоголь В1.,>5%,C,0.21,0.04,1.6,2.37,9.6,9.97,15
29,Лептин (нг/мл) 0 мес,>5%,D,0.02,0.02,27.06,24.36,66.6,23.7,15
30,Лептин 1 час (нг/мл) 0 мес,>5%,D,0.01,0.01,18.62,9.08,60.63,27.02,15
31,"sST2 нг/мл (15,15-26,86) 0 мес",>5%,D,0.03,0.01,23.31,3.91,15.4,3.13,11
32,sST2/Лептин 0 мес,>5%,D,0.05,0.03,1.48,1.36,0.31,0.17,11
33,Экстернальное ПП,>5%,D,0.13,0.02,2.65,0.7,3.34,0.34,15
34,Диетическое ПП,>5%,D,0.02,0.01,3.53,0.59,2.44,0.58,15
35,EQ-5,>5%,D,0.05,0.04,46.0,11.89,66.73,15.26,15
36,Депрессия,>5%,D,0.03,0.02,2.25,1.71,5.55,2.23,15
37,Возраст,>6%,A,0.05,0.04,29.75,9.46,44.73,11.17,15
38,Инсулин,>6%,A,0.01,0.01,60.18,11.78,148.72,54.0,15
39,HOMA-IR,>6%,A,0.03,0.02,2.03,0.39,5.2,2.32,15
40,HOMA-B,>6%,A,0.01,0.04,99.79,24.54,268.47,137.13,15
41,СРБ,>6%,A,0.03,0.04,1.17,0.67,3.57,1.96,15
42,ГПП 1 нг/мл 0 мес,>6%,A,0.08,0.04,2.34,0.48,3.47,0.88,15
43,Грелин (нг/мл) 0 мес,>6%,A,0.12,0.05,6.36,3.24,3.25,2.1,15
44,"Грелин АС Рассчет на коэффициент (нг/мл) К=3,494 0 мес",>6%,A,0.06,0.04,22.22,11.33,9.59,8.76,15
45,Лептин (нг/мл) 0 мес,>6%,A,0.06,0.04,30.46,21.86,65.37,26.17,15
46,Лептин 1 час (нг/мл) 0 мес,>6%,A,0.03,0.02,20.64,7.14,59.89,28.25,15
47,Грелин 1 час (нг/мл) 0 мес.1,>6%,A,0.06,0.02,2.17,0.46,6.26,2.43,12
48,Сколько может сьесть,>6%,A,0.04,0.09,6.75,2.22,4.09,2.39,15
49,САД,>6%,B,0.02,0.01,133.33,5.16,117.14,11.61,15
50,Пульс,>6%,B,0.02,0.01,78.67,2.07,70.29,5.17,15
51,"sST2 нг/мл (15,15-26,86) 0 мес",>6%,B,0.01,0.01,21.54,4.22,14.24,2.18,11
52,sST2/Адипонектин 0 мес,>6%,B,0.02,0.04,2.75,1.07,1.32,0.81,11
53,САД,>6%,C,0.04,0.02,131.43,6.9,117.5,11.99,15
54,ДАД,>6%,C,0.05,0.05,81.43,6.9,72.5,8.29,15
55,Лептин (нг/мл) 0 мес,>6%,C,0.05,0.05,40.13,30.35,69.99,21.47,15
56,Лептин 1 час (нг/мл) 0 мес,>6%,C,0.03,0.02,30.52,22.96,65.97,26.45,15
57,"sST2 нг/мл (15,15-26,86) 0 мес",>6%,C,0.03,0.02,20.52,4.53,14.01,2.32,11
58,sST2/Лептин 0 мес,>6%,C,0.03,0.2,0.94,1.06,0.26,0.13,11
59,Диетическое ПП,>6%,C,0.04,0.03,3.17,0.75,2.34,0.52,15
60,Инсулин,>6%,D,0.03,0.04,60.42,14.42,141.29,57.28,15
61,HOMA-B,>6%,D,0.03,0.08,93.95,26.44,255.87,137.78,15
62,NT-proBMP/Лептин 0 мес,>6%,D,0.33,0.05,2.76,3.19,0.64,0.55,11
63,EQ-5,>6%,D,0.03,0.02,41.33,9.02,66.17,14.72,15
64,Инсулин,>7%,A,0.03,0.04,60.42,14.42,141.29,57.28,15
65,HOMA-B,>7%,A,0.03,0.08,93.95,26.44,255.87,137.78,15
