,Параметр,Порог %,Условие,MW p-value,t-test p_value,+ mean,+ std,- mean,- std,count
0,ДАД,>5%,A,0.05,0.03,74.82,9.77,70.24,8.71,79
1,ГПП 1 нг/мл 0 мес,>5%,A,0.02,0.02,3.22,1.4,3.94,1.01,66
2,Грелин 1 час (нг/мл) 0 мес.1,>5%,A,0.04,0.03,4.7,3.65,10.69,9.98,35
3,miR378 (ПЖТ) 0 мес,>5%,A,0.01,0.01,1635.62,1376.7,4174.37,2174.11,27
4,miR155 0 мес,>5%,A,0.02,0.01,6420.73,5270.24,16444.6,5330.67,13
5,Миелопероксидаза нг/мл (˂200) 0 мес,>5%,A,0.05,0.48,80.42,119.75,106.21,113.69,44
6,Проколлаген 1 типа нг/мл (183-244) 0 мес,>5%,A,0.21,0.04,75.73,31.5,127.03,98.14,44
7,MMP-9 нг/мл (450-1351) 0 мес,>5%,B,0.04,0.17,214.75,230.13,45.5,15.95,28
8,Алкоголь В1.,>5%,B,0.01,0.04,3.66,3.25,1.33,1.05,64
9,miR142 (ПЛАЗМА) 0 мес,>5%,C,0.02,0.18,76070.12,116029.88,38606.05,52742.53,50
10,Грелин 1 час (нг/мл) 0 мес.1,>5%,D,0.03,0.05,4.61,3.88,10.16,9.61,35
11,miR142 (ПЛАЗМА) 0 мес,>5%,D,0.03,0.03,105942.49,151025.07,41859.64,53576.06,50
12,miR155 0 мес,>5%,D,0.02,0.01,6420.73,5270.24,16444.6,5330.67,13
13,"ЭхоКГ Ао, мм, 0 мес",>5%,D,0.19,0.05,35.0,4.15,32.84,1.89,34
14,"КДР, мм, 0 мес",>5%,D,0.15,0.04,50.11,4.08,47.56,2.53,34
15,"ТИМ справа макс, мм, 0 мес",>5%,D,0.09,0.02,0.74,0.27,0.55,0.12,29
16,ГИП 1 час (нг/мл) 0 мес,>6%,A,0.07,0.02,163.86,65.81,235.6,123.46,64
17,miR378 (ПЖТ) 0 мес,>6%,A,0.03,0.03,1124.75,560.57,3821.7,2222.74,27
18,miR142 (ПЛАЗМА) 0 мес,>6%,A,0.03,0.04,104423.43,151606.0,42510.66,53685.18,50
19,miR155 0 мес,>6%,A,0.02,0.01,6420.73,5270.24,16444.6,5330.67,13
20,"TAVS, см/с, 0 мес",>6%,A,0.01,0.01,12.46,0.72,13.27,0.91,34
21,САД,>6%,B,0.03,0.04,119.17,11.71,126.2,11.63,79
22,Пульс,>6%,B,0.03,0.04,74.73,9.22,80.7,10.0,76
23,СКФ мл/мин/1.73м2 (> 60) 0 мес,>6%,B,0.11,0.05,102.63,23.78,88.34,8.93,64
24,СРБ,>6%,B,0.05,0.1,3.62,3.58,5.54,4.37,79
25,Лептин 1 час (нг/мл) 0 мес,>6%,B,0.02,0.02,59.85,26.52,84.9,35.19,64
26,"КДО, мл, 0 мес",>6%,B,0.05,0.1,114.07,22.28,100.22,10.16,34
27,"ТИМ справа ср, мм 0 мес",>6%,B,0.1,0.05,0.51,0.09,0.59,0.07,29
28,Алкоголь В1.,>6%,B,0.02,0.03,3.81,3.38,1.58,1.19,64
29,ОБ 0 мес,>6%,C,0.09,0.04,117.94,8.66,122.3,9.95,79
30,СРБ,>6%,C,0.02,0.05,3.67,3.7,5.42,4.04,79
31,ГИП 1 час (нг/мл) 0 мес,>6%,C,0.06,0.01,176.03,76.85,245.97,129.99,64
